id_pdc                , statut_pdc               , url_description_pdc                                                                                                                                                                                                                                                                                                             , last_updated             , coordonneesxy         , adresse_station                                  , code_insee_commune, arrondissement
FR*V75*EPX19*14*2     , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX19*14*2     , 2025-01-06T07:11:17+00:00, "48.87274, 2.3782985" , 1 Rue Jules Romains 75019 Paris                  ,              75119, 19e Arrondissement
FR*V75*EPX10*04*3     , Inconnu                  , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX10*04*3     , 2022-11-22T03:30:03+00:00, "48.879135, 2.3560476", 143 Rue La Fayette 75010 Paris                   ,              75110, 10e Arrondissement
FR*V75*EPX20*02*7     , Inconnu                  , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX20*02*7     , 2025-09-12T02:30:05+00:00, "48.87559, 2.399738"  , 265 Rue de Belleville 75020 Paris                ,                   , 20e Arrondissement
FR*V75*EPX10*09*5     , En maintenance           , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX10*09*5     , 2025-08-18T02:30:06+00:00,                       ,                                                  ,                   , 
FR*V75*EPX08*01*4     , Occupé (en charge)       , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX08*01*4     , 2025-09-21T21:44:51+00:00, "48.869644, 2.3036203", 62 Rue Pierre Charron 75008 Paris                ,                   , 08e Arrondissement
FR*V75*EHBSAE*PDA*01*3, Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EHBSAE*PDA*01*3, 2025-09-25T02:30:05+00:00, "48.846973, 2.2558389", 1-3 Av. du Général Sarrail 75016 Paris           ,                   , 16e Arrondissement
FR*V75*EHBSAG*LOB*01*2, Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EHBSAG*LOB*01*2, 2025-09-25T02:30:05+00:00, "48.856796, 2.3538697", 4 Rue de Lobau 75004 Paris                       ,                   , Paris centre
FR*V75*EPX20*21*01    , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX20*21*01    , 2025-09-25T02:30:05+00:00, "48.873646, 2.3911798", 5 rue Frédérick Lemaître 75020 Paris             ,                   , 20e Arrondissement
FR*V75*EPX18*16*3     , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*16*3     , 2025-09-25T02:30:05+00:00, "48.885006, 2.3475914", 16 Rue Sofia 75018 Paris                         ,                   , 18e Arrondissement
FR*V75*EPX13*18*3     , Disponible               , https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX13*18*3     , 2025-09-25T02:30:05+00:00, "48.832825, 2.36241"  , 143 boulevard Vincent Auriol 75013 Paris         ,                   , 13e Arrondissement
